,Company,0217price,0217amt,0517price,0517amt,0817price,0817amt,1117price,1117amt,0217-0517chng,0517-0817chng
37,ACTUANT CORP,25.9489870097,94917,26.3425455218,54095,24.6009401317,161254,25.6035302959,270119,-40822,107159
38,ACUITY BRANDS INC,230.859396616,198779,204.000676429,348891,203.278709942,459266,171.28121782,465159,150112,110375
39,ACUSHNET HOLDINGS CORP,19.7231545951,36049,17.2878235073,58654,19.8345028095,71542,17.7610551442,49434,22605,12888
40,ACXIOM CORP,26.8008580765,249395,28.4692346588,241278,25.9804078357,343913,24.6384248693,296204,-8117,102635
41,ADAMAS PHARMACEUTICALS INC,16.905606084,19461,17.504967404,60897,17.4924041518,56939,21.1670988159,101431,41436,-3958
42,ADCARE HEALTH SYSTEMS INC,1.45997949871,779463,1.25953905715,743129,0.960486794695,720468,0.928135773005,15084,-36334,-22661
43,ADECOAGRO S A,10.3524653313,20768,11.4603433588,332189,9.98920729391,797761,10.7999090491,980749,311421,465572
44,ADIENT PLC,58.6036147561,201950,72.6710475454,191438,65.3785877233,266081,83.9889135914,437653,-10512,74643
45,ADOBE SYS INC,102.949625234,2704886,130.129918224,3505051,141.440405629,4047832,149.1797121,3934838,800165,542781
46,ADTRAN INC,22.3431124927,113234,20.7529877782,162579,20.6520892305,154028,24.0023482008,149902,49345,-8551
47,ADURO BIOTECH INC,11.4026951825,54987,10.7510529273,236721,11.3987949845,221076,10.651304474,193028,181734,-15645
48,ADVANCE AUTO PARTS INC,169.119920953,1060632,148.261054783,1143193,116.588753909,1155566,99.2002650845,736369,82561,12373
49,ADVANCED DISP SVCS INC DEL,22.2202000314,1571453,22.599711757,1563958,22.7298253496,1780700,25.189664319,1159285,-7495,216742
50,ADVANCED ENERGY INDS,54.7491134283,302288,68.5625375242,236514,64.6916146916,202020,80.7562781771,220924,-65774,-34494
51,ADVANCED MICRO DEVICES INC,11.3401437147,2689913,14.5499893355,6887359,12.480004067,8891183,12.7500022284,9984861,4197446,2003824
52,ADVANCED SEMICONDUCTOR ENGR,5.05096886766,32667,6.47901732433,269794,6.30920220224,58486,6.18537543636,75339,237127,-211308
53,ADVANSIX INC,22.1411753375,394559,27.3193762054,458356,31.2389641356,376613,39.7525280053,245846,63797,-81743
54,ADVANTAGE OIL & GAS LTD,6.76069471966,68632,6.59734221357,127324,6.7497610704,150672,6.30129903703,123784,58692,23348
55,ADVISORSHARES TR,29.2957746479,19525,29.9573560768,18760,36.8041852141,21791,32.1272991288,16528,-765,3031
56,ADVISORY BRD CO,33.2501328201,99759,46.8005849791,442409,51.5016319855,292282,53.6249816224,1537194,342650,-150127
57,AECOM,36.3594462966,650890,35.5880545295,476733,32.3301024126,510484,36.8103063809,950712,-174157,33751
58,AEGEAN MARINE PETROLEUM NETW,10.1487180789,118143,12.0498971193,77760,5.84251526423,56996,4.95271056479,67034,-40383,-20764
59,AEGION CORP,23.6973445702,286319,22.9093591122,177613,21.8748297838,91795,23.2855633215,107878,-108706,-85818
60,AEGON N V,5.5299192591,930755,5.1293760024,893481,5.10998239628,1040121,5.78960480038,1019586,-37274,146640
61,AERCAP HOLDINGS NV,41.6106930567,564254,45.970417961,226624,46.4311081838,774330,51.1097051161,684371,-337630,547706
62,AERIE PHARMACEUTICALS INC,37.8499827169,173580,45.3479666268,223053,52.5462703035,204829,48.60401007,167229,49473,-18224
63,AEROHIVE NETWORKS INC,5.71557155716,22220,4.22149539819,26294,5.0288476532,25652,4.07604653239,33611,4074,-642
64,AEROJET ROCKETDYNE HLDGS INC,17.9508482298,186565,21.6993208916,174199,20.7969136175,165890,35.0099395899,336533,-12366,-8309
65,AEROVIRONMENT INC,26.8298466734,1404257,28.029495778,1340124,38.2001586928,816672,54.1259601493,139822,-64133,-523452
66,AES CORP,11.6199434722,6740050,11.1799392176,11367772,11.1100187688,11148316,11.0199701827,10976164,4627722,-219456
67,AETNA INC NEW,124.009992312,3076365,127.549635125,3112161,151.82987636,3000312,159.010105416,2618299,35796,-111849
68,AEVI GENOMIC MEDICINE INC,5.17108592804,18178,1.86190845617,212685,1.33087139058,393727,1.25540048406,88418,194507,181042
69,AFFILIATED MANAGERS GROUP,145.299927649,1824440,163.939953091,1379255,165.859886469,1397324,189.830515477,1452227,-445185,18069
70,AFFIMED N V,1.80268422808,95968,2.2963126518,45290,2.05970604689,39326,2.24050294275,29904,-50678,-5964
71,AFLAC INC,69.6000717296,3089379,72.4201290988,3242013,77.6801643693,3696555,81.3898214666,4026474,152634,454542
72,AG MTG INVT TR INC,17.1123747821,56801,18.0566941364,46354,18.301111992,196764,19.2416146515,209234,-10447,150410
73,AGCO CORP,57.8591292077,795069,60.1799439909,721669,67.3898654281,885326,73.7700114229,1876928,-73400,163657
74,AGENUS INC,4.10915604257,18982,3.77079394594,673333,3.90979896424,613075,4.41062627587,362987,654351,-60258
75,AGILENT TECHNOLOGIES INC,45.5601329301,4952378,52.8699343614,5567758,59.309923808,5431806,64.1998060493,4885778,615380,-135952
76,AGIOS PHARMACEUTICALS INC,41.7270886407,76545,58.4002440212,649124,51.4496551866,681093,66.7495569411,932156,572579,31969
77,AGNC INVT CORP,18.129998265,4328627,19.8899768582,4701011,21.2899788248,6030161,21.6800611883,5224524,372384,1329150
78,AGNICO EAGLE MINES LTD,41.9999232177,625144,42.441884895,428374,45.1205891983,445894,45.2089423231,460462,-196770,17520
79,AGREE REALTY CORP,46.052960905,59931,47.9592589859,67745,45.8717955311,77782,49.0795435981,116301,7814,10037
80,AGRIUM INC,100.550544323,643000,95.5497348554,389033,90.4884139883,258674,107.21315778,182888,-253967,-130359
81,AIMMUNE THERAPEUTICS INC,20.4424862611,42216,21.7253677169,94774,20.5605668119,227377,24.7881767027,247376,52558,132603
82,AIR LEASE CORP,34.3306597442,450705,38.7487145859,402594,37.3586068732,324450,42.6199551466,325059,-48111,-78144
83,AIR PRODS & CHEMS INC,143.819729801,1007998,135.290355724,953830,143.059859012,1182512,151.220165748,1089729,-54168,228682
84,AIR TRANSPORT SERVICES GRP I,15.972380302,26358,16.0662122687,30810,21.7779124171,89127,24.3368529488,85426,4452,58317
85,AIRCASTLE LTD,20.850444343,230115,24.1285481643,194044,21.753290392,96721,22.2857088621,105359,-36071,-97323
86,AK STL HLDG CORP,10.209925686,6465669,7.19003549007,6346283,6.56990875403,5019400,5.58998907849,2832027,-119386,-1326883
87,AKAMAI TECHNOLOGIES INC,66.680170951,903417,59.6996989956,1364764,49.8101216283,1111501,48.719881338,1779171,461347,-253263
88,AKEBIA THERAPEUTICS INC,10.4173087592,48669,9.19292976439,49277,14.3718524102,291890,19.670404705,639997,608,242613
89,AKORN INC,21.8299356019,1210906,24.0799211272,1282064,33.5399894947,4058916,33.1899045763,4474463,71158,2776852
90,ALAMO GROUP INC,76.1003826108,33193,76.1909339999,20803,90.8072118395,30339,107.37547014,65406,-12390,9536
91,ALAMOS GOLD INC NEW,6.83982496079,875461,8.03082273023,716614,7.18061050572,812605,6.76084883057,1091431,-158847,95991
92,ALASKA AIR GROUP INC,88.7304710041,1498989,92.2205217932,1067051,89.760519274,860278,76.2702014537,739922,-431938,-206773
93,ALASKA COMMUNICATIONS SYS GR,1.64661553752,67411,1.84794086589,102276,2.20403842316,115243,2.25109338822,15548,34865,12967
94,ALBANY INTL CORP,46.2973852366,51018,46.0496170714,30554,53.393002899,35529,57.409008845,65913,-20464,4975
95,ALBEMARLE CORP,86.0813849793,412656,105.639179756,458400,105.539703169,483979,136.309506456,891794,45744,25579
96,ALCOA CORP,28.0803827142,754192,34.3997969597,1725766,32.6508147829,806718,46.6193320326,1154757,971574,-919048
97,ALCOBRA LTD,2.09342765013,59233,1.13373643962,44984,1.10322509469,27193,0.973192957622,11303,-14249,-17791
98,ALDER BIOPHARMACEUTICALS INC,20.7997707663,628180,20.8000478265,669085,11.450620764,718389,12.2499660401,1516494,40905,49304
99,ALERE INC,38.9704900213,651339,39.7295112361,763211,50.1899332686,2797035,50.9899716206,2720280,111872,2033824
100,ALEXANDER & BALDWIN INC NEW,44.8718738071,162418,44.5160721301,124719,41.3771911073,149696,46.3291839557,271125,-37699,24977
101,ALEXANDERS INC,427.025139665,2864,431.713722915,3046,421.429775755,11862,424.100156495,3834,182,8816
102,ALEXANDRIA REAL ESTATE EQ IN,111.130285894,1332769,110.519593132,1711416,120.470406024,2094531,118.969801516,2118815,378647,383115
103,ALEXCO RESOURCE CORP,1.35435914665,95248,1.51960784314,20400,1.32632509702,20357,1.44861014808,307191,-74848,-43
104,ALEXION PHARMACEUTICALS INC,122.35011498,1129766,121.239956277,1564410,121.669998005,4801874,140.29009663,3458227,434644,3237464
105,ALGONQUIN PWR UTILS CORP,8.48148148148,81000,9.58010151392,136533,10.5432098765,81000,10.5649313107,145292,55533,-55533
106,ALIBABA GROUP HLDG LTD,87.8099352504,11083928,107.829950412,15716051,140.899920246,15388497,172.70999818,15046309,4632123,-327554
107,ALIGN TECHNOLOGY INC,96.1297231904,1210146,114.710000712,1501883,150.119528873,1556946,186.269442795,1484033,291737,55063
108,ALIMERA SCIENCES INC,1.08041535149,813576,1.40050245235,509103,1.38896660227,303823,1.34613281283,118859,-304473,-205280
109,ALKERMES PLC,55.580486684,2036722,58.4996484169,2857077,57.9700363986,3096824,50.8401661712,3426346,820355,239747
110,ALLEGHANY CORP DEL,608.110964763,61497,614.667776491,55264,594.797687861,44980,554.006197432,54216,-6233,-10284
111,ALLEGHENY TECHNOLOGIES INC,15.9302590644,1245868,17.9612900702,613486,17.0092262943,819614,23.900413722,1638298,-632382,206128
112,ALLEGIANT TRAVEL CO,166.387300335,40568,160.25686511,28186,135.606740453,70203,131.707688018,78902,-12382,42017
113,ALLEGION PUB LTD CO,64.0002535771,536326,75.7014833916,783340,81.1189042729,906065,86.4697102982,505865,247014,122725
114,ALLERGAN PLC,212.361053169,4616694,241.243791027,5915431,246.749785056,4490703,210.066546798,3209621,1298737,-1424728
115,ALLETE INC,64.1944829608,177414,67.7107509738,99098,71.6698701147,68676,77.2923831251,176214,-78316,-30422
116,ALLIANCE DATA SYSTEMS CORP,228.501882808,428084,249.00057659,416240,256.693585931,259913,221.548320995,497765,-11844,-156327
117,ALLIANCE HOLDINGS GP LP,28.0985574722,152926,27.4300949158,156033,23.6996828709,170593,27.8104974964,439762,3107,14560
118,ALLIANCE RES PARTNER L P,22.4500304128,685567,21.6497831499,766428,18.9006046664,967641,19.3497189696,1324412,80861,201213
119,ALLIANCEBERNSTEIN HOLDING LP,23.4499548079,660513,22.8503824029,607736,23.650187036,592934,24.299000974,696078,-52777,-14802
120,ALLIANT ENERGY CORP,37.889915072,1359623,39.6099218125,1513030,40.1701937135,1447292,41.5700819039,1481859,153407,-65738
121,ALLISON TRANSMISSION HLDGS I,33.6889432481,757103,36.0600441666,429284,37.5095345953,1030458,37.530096258,2996635,-327819,601174
122,ALLSCRIPTS HEALTHCARE SOLUTN,10.2100105178,1215082,12.6799614042,2457263,12.7599659533,7287637,14.2299478348,9012331,1242181,4830374
123,ALLSTATE CORP,74.120192099,2580336,81.4897694921,2624943,88.4400522238,2623325,91.9101100284,2988409,44607,-1618
124,ALLY FINL INC,19.0199704452,5727664,20.3300094185,6196308,20.8998935759,5533521,24.2600397491,5923156,468644,-662787
125,ALMOST FAMILY INC,44.0971819552,34492,48.6002247409,576664,61.6504937156,586370,53.7004736729,588803,542172,9706
126,ALNYLAM PHARMACEUTICALS INC,37.4405235134,914437,51.250222183,1383994,79.7605628585,1511712,117.490108716,1793751,469557,127718
127,ALON USA PARTNERS LP,9.600031265,358228,9.1546966547,84656,10.4768664031,59178,11.5322580645,49600,-273572,-25478
128,ALPHA & OMEGA SEMICONDUCTOR,21.2628140137,35508,17.194043096,36059,16.6697883499,42712,16.4759317807,22457,551,6653
129,ALPHABET INC,785.376374966,4652116,841.359375445,5061648,920.44985337,4257654,967.306505322,4134584,409532,-803994
130,ALPINE GLOBAL PREMIER PPTYS,5.13869487128,20044,5.74162679426,15675,6.32911392405,10112,6.64242424242,20625,-4369,-5563
131,ALPINE TOTAL DYNAMIC DIVID F,7.57265656979,24430,8.25539225043,20956,8.7047876332,26652,9.00606456767,27537,-3474,5696
132,ALPS ETF TR,12.6389088651,40937632,12.7228357962,50907833,12.0433013733,42434959,11.2697464315,70614721,9970201,-8472874
133,ALTISOURCE PORTFOLIO SOLNS S,26.58729295,91886,36.8007526864,242332,21.8179292228,158356,25.872342692,150199,150446,-83976
134,ALTISOURCE RESIDENTIAL CORP,11.042165437,266071,15.2481810135,185268,12.93891203,370433,11.1093063705,295518,-80803,185165
135,ALTRA INDL MOTION CORP,36.9294256358,23748,38.9694041868,9315,39.7078104514,5339,48.089827324,22354,-14433,-3976
136,ALTRIA GROUP INC,67.619990628,8459244,71.419869486,10572352,74.470093206,10436458,63.4201164402,9197681,2113108,-135894
137,AMAG PHARMACEUTICALS INC,34.7997118715,231841,22.5500838843,607980,18.3991851177,559590,18.4505701766,631471,376139,-48390
138,AMARIN CORP PLC,3.07995123079,752934,3.19962891878,422549,4.02974120488,291582,3.50031897391,238264,-330385,-130967
139,AMAZON COM INC,749.86990675,3384111,886.540140855,3505319,968.000392955,3664545,961.350207273,3652180,121208,159226
140,AMBAC FINL GROUP INC,22.4996798661,1350997,18.8601710189,1842136,17.3498632875,1821340,17.2597433107,1826099,491139,-20796
141,AMBARELLA INC,54.1305664134,315441,54.7084457356,120475,48.5525125982,220071,49.0091229809,306698,-194966,99596
142,AMBEV SA,4.90998622411,11371315,5.75998701173,10963740,5.48997407527,15382222,6.59005882437,17881024,-407575,4418482
143,AMC ENTMT HLDGS INC,33.6451451124,91722,31.447804682,179154,22.7459038792,91489,14.7012357815,227872,87432,-87665
144,AMC NETWORKS INC,52.3397787961,1134338,58.679484207,560690,53.4111658023,439234,58.4714896704,397014,-573648,-121456
145,AMDOCS LTD,58.2503100325,1508713,60.9898717644,1324515,64.4597131739,1516389,64.3199368669,2260621,-184198,191874
146,AMEC FOSTER WHEELER PLC,5.71106988765,95954,6.58552975435,66965,6.01634977496,65322,6.7586414058,46607,-28989,-1643
147,AMEDISYS INC,42.632212525,146204,51.0920413752,169087,62.7949388031,53189,55.969362269,90085,22883,-115898
148,AMERCO,369.590369411,72602,381.181040762,74138,366.059852354,75586,374.90228108,85705,1536,1448
149,AMEREN CORP,52.4601271679,3208513,54.5900075363,3313317,54.6700832999,3205885,57.8400349106,3645883,104804,-107432
150,AMERICA MOVIL SAB DE CV,12.5699795624,2296742,14.170037142,2421518,15.9198363437,5560924,17.7499010196,6354796,124776,3139406
151,AMERICAN AIRLS GROUP INC,46.6899567077,2742517,42.300037852,2644513,50.3199918382,2607254,47.4895970889,3126769,-98004,-37259
152,AMERICAN ASSETS TR INC,43.0822255047,81240,41.8384220395,126391,39.3895980004,292463,39.7678376776,313746,45151,166072
153,AMERICAN AXLE & MFG HLDGS IN,19.3005539586,357969,18.7804712362,382738,15.6003425932,615307,17.5799984786,2155916,24769,232569
154,AMERICAN CAMPUS CMNTYS INC,49.7707244147,915056,47.5899612201,877517,47.2997977147,880934,44.1505902322,768257,-37539,3417
155,AMERICAN EAGLE OUTFITTERS NE,15.1698464069,2792052,14.0303611984,2281267,12.0501109163,2462218,14.3000021116,5209230,-510785,180951
156,AMERICAN ELEC PWR INC,62.9599527191,2976257,67.1299156926,3180147,69.4698037735,3749442,70.2400310221,2841841,203890,569295
157,AMERICAN EQTY INVT LIFE HLD,22.5396116938,667669,23.6300836916,494793,26.2794206937,614321,29.0800607639,819565,-172876,119528
158,AMERICAN EXPRESS CO,74.0799284941,8059754,79.1102273307,5974335,84.2396970621,3654346,90.4599521724,4024875,-2085419,-2319989
159,AMERICAN FINL GROUP INC OHIO,88.1206312245,702571,95.4211163273,676737,99.3695373398,913932,103.449227563,724655,-25834,237195
160,AMERICAN HOMES 4 RENT,20.980150665,1448512,22.9602811831,3863106,22.5700369898,5886211,21.7101121883,6087624,2414594,2023105
161,AMERICAN INTL GROUP INC,64.8657343383,3891762,61.1577232929,5239093,62.0827797782,8033677,61.0602782163,9807407,1347331,2794584
162,AMERICAN MIDSTREAM PARTNERS,18.1707646582,14804,14.8410456372,25133,12.8212633921,17081,13.649605706,79636,10329,-8052
163,AMERICAN NATL INS CO,124.579293716,19907,118.039697875,17079,116.484981197,21007,118.089149965,11576,-2828,3928
164,AMERICAN PUBLIC EDUCATION IN,24.5457588946,65714,22.9088036514,45572,23.6526367753,46591,21.0558276458,75751,-20142,1019
165,AMERICAN RAILCAR INDS INC,45.3048509123,22470,41.0776966132,21082,38.2999889466,18094,38.5360315234,14973,-1388,-2988
166,AMERICAN RENAL ASSOCIATES HO,21.2799407081,712408,16.8794160238,709207,18.5496845156,701144,14.9707355749,673514,-3201,-8063
167,AMERICAN STS WTR CO,45.5618033939,79672,44.3072746663,61886,47.4216013848,49682,49.2428317822,148712,-17786,-12204
168,AMERICAN TOWER CORP NEW,105.670718005,7209140,121.471229524,8049050,132.21130233,8093181,136.540107314,8289286,839910,44131
169,AMERICAN VANGUARD CORP,19.1341951083,43012,16.6153567548,44176,17.2662964935,13147,22.8900951793,67977,1164,-31029
170,AMERICAN WOODMARK CORP,75.2648344322,26998,91.796875,17408,95.5606223176,44736,96.2513117968,245846,-9590,27328
171,AMERICAN WTR WKS CO INC NEW,72.3602226919,1844881,77.76981761,1740611,77.949875467,822272,80.9101060292,885699,-104270,-918339
172,AMERICAS CAR MART INC,43.7536954135,35517,36.4744015308,25607,38.9131314949,22229,41.1095972068,46972,-9910,-3378
173,AMERIGAS PARTNERS L P,47.9205642115,1416490,47.0895931879,1498038,45.1698431655,1712315,44.9400128583,1752959,81548,214277
174,AMERIPRISE FINL INC,110.940565692,2378643,129.680127096,1771266,127.289462832,1755652,148.509326657,1652307,-607377,-15614
175,AMERIS BANCORP,43.600658028,1031567,46.0997548362,1092739,48.2001350481,1030744,47.9996410352,1092029,61172,-61995
176,AMERISAFE INC,62.3503655728,527118,64.9005872093,494202,56.9500158274,559157,58.1990690711,593171,-32916,64955
177,AMERISOURCEBERGEN CORP,78.1898469604,1664014,88.5002048832,1393477,94.5298455333,1342814,82.7497328782,1343956,-270537,-50663
178,AMETEK INC NEW,48.5999983296,4429959,54.0802097657,4124984,60.5698718451,2435881,66.0400965534,1830282,-304975,-1689103
179,AMGEN INC,146.209999509,4032638,164.07014447,5016903,172.229869382,5895435,186.450124091,6890100,984265,878532
180,AMICUS THERAPEUTICS INC,4.96984777717,735435,7.129934401,777146,10.0704410211,921906,15.0800186781,1177850,41711,144760
181,AMIRA NATURE FOODS LTD,6.15223368438,139299,5.35914945112,161966,5.55097142,39993,6.04838709677,15872,22667,-121973
182,AMKOR TECHNOLOGY INC,10.5497132368,327971,11.5905845304,1023762,9.77052302032,1239340,10.5504322009,951525,695791,215578
183,AMN HEALTHCARE SERVICES INC,38.4494305974,508252,40.6004823301,802355,39.0500362134,810473,45.7008005624,964447,294103,8118
184,AMPHASTAR PHARMACEUTICALS IN,18.4200629733,271226,14.4982560582,197541,17.8597066967,195020,17.8723195205,203555,-73685,-2521
185,AMPHENOL CORP NEW,67.1999622164,4361684,71.1698668478,4013679,73.8199921837,4173341,84.640158888,3958511,-348005,159662
186,AMTRUST FINL SVCS INC,27.3804258004,1458195,18.459945046,6540377,15.1400260777,5205209,13.4600630807,5161640,5082182,-1335168
187,ANADARKO PETE CORP,69.7299442895,5232587,61.9999990635,4271242,45.3399988224,3566630,48.8498632356,3913665,-961345,-704612
188,ANALOG DEVICES INC,72.620085942,2756276,81.9501126819,2473334,77.8001810652,4459167,86.1697756943,3300496,-282942,1985833
189,ANALOGIC CORP,82.9276209023,30810,75.901017652,36653,72.6584442545,16378,83.7380136564,40567,5843,-20275
190,ANDERSONS INC,44.7090567809,85240,37.905950493,58012,34.1214168182,11547,34.2377622378,53625,-27228,-46465
191,ANGIODYNAMICS INC,16.8699760259,283640,17.3502088806,339189,16.2071952557,330162,17.091231178,282250,55549,-9027
192,ANGLOGOLD ASHANTI LTD,10.5105487444,1335230,10.7700100354,1368151,9.71976849525,1329044,9.29020830375,2204041,32921,-39107
193,ANHEUSER BUSCH INBEV SA/NV,105.441039429,448554,109.760450219,916177,110.359587897,898028,119.300224686,969797,467623,-18149
194,ANI PHARMACEUTICALS INC,60.6111982368,23593,49.5164974003,20579,46.7893861971,16243,52.4777987392,43466,-3014,-4336
195,ANIKA THERAPEUTICS INC,48.9589195273,44425,43.4305953786,35574,49.3391505197,31172,57.99971085,159087,-8851,-4402
196,ANIXTER INTL INC,81.0496602081,729417,79.2990829779,726591,78.2001325634,734743,85.0003586265,850467,-2826,8152
197,ANNALY CAP MGMT INC,9.96962847546,2250134,11.110006214,4605758,12.0500552088,8416227,12.1899602308,9679605,2355624,3810469
198,ANSYS INC,92.4899732903,827041,106.870744281,829619,121.679585602,994793,122.730817604,887324,2578,165174
199,ANTARES PHARMA INC,2.33185218943,131655,2.84047556289,576664,3.21882194278,379642,3.24058988302,334507,445009,-197022
200,ANTERO MIDSTREAM PARTNERS LP,30.8799663088,10072647,33.1599315488,9969140,33.1799751389,9731683,31.5300029938,9259276,-103507,-237457
201,ANTERO RES CORP,23.6500507795,4775550,22.8100831247,4090121,21.6098094909,3861811,19.8999581869,4068099,-685429,-228310
202,ANTHEM INC,143.769894939,2184915,165.380245357,2213505,188.129978371,2221108,189.880020235,2478918,28590,7603
203,ANWORTH MORTGAGE ASSET CP,5.1696997837,883030,5.5507425026,949963,6.0102442877,915437,6.00906179372,466795,66933,-34526
204,AON PLC,111.529580391,798147,118.688442706,944953,132.949893112,1466026,146.100043174,1732532,146806,521073
205,APACHE CORP,63.4701362078,1344270,51.3899573694,1882216,47.9308136342,1445834,45.7996908892,1501080,537946,-436382
206,APARTMENT INVT & MGMT CO,45.327146451,1595203,44.3501766996,1588855,42.9695845075,1371505,43.8602277189,1273500,-6348,-217350
207,APOGEE ENTERPRISES INC,53.5540501861,104810,59.6157393986,75886,56.8151268035,22318,48.2588373364,98842,-28924,-53568
208,APOLLO COML REAL EST FIN INC,16.622884916,188054,18.8100149568,179851,18.5477266523,329690,18.1098468447,422643,-8203,149839
209,APOLLO GLOBAL MGMT LLC,19.3600161515,5913993,24.3200556151,5115161,26.4500153058,4971982,30.099961816,4433793,-798832,-143179
210,APOLLO INVT CORP,5.86013173189,165184,6.56089451937,282431,6.39190200668,505014,6.10930982265,538195,117247,222583
211,APPLE HOSPITALITY REIT INC,19.9792724356,819199,19.099854777,842153,18.7099157076,638966,18.9103326874,794169,22954,-203187
212,APPLE INC,115.819987927,50956360,143.660009531,51788887,144.019994437,50287587,154.120000164,31150824,832527,-1501300
213,APPLIED DNA SCIENCES INC,1.82775259541,13678,1.64680390033,23075,1.77347457221,20863,2.85424914833,10861,9397,-2212
214,APPLIED INDL TECHNOLOGIES IN,59.3976736151,138928,61.8542611928,109758,59.0557635037,73202,65.8014303452,144161,-29170,-36556
215,APPLIED MATLS INC,32.2699479676,9297288,38.8999543378,10750681,41.3099335742,10974358,52.0898556365,11053419,1453393,223677
216,APPLIED OPTOELECTRONICS INC,23.4243343445,11868,56.1886051081,12725,61.7900715187,171144,64.6706419584,143218,857,158419
