,Company,0216price,0216amt,0516price,0516amt,0816price,0816amt,1116price,1116amt,0216-0516chng,0516-0816chng
644,CLUBCORP HLDGS INC,18.2732875872,105947,14.0388384108,112260,13.0017119259,246506,14.4708499387,340754,6313,134246
645,CME GROUP INC,90.5987241897,926470,96.0507755842,902481,97.3999174577,1245422,104.520112553,1393483,-23989,342941
646,CMS ENERGY CORP,36.0804255212,1235379,42.4406703118,1009739,45.8600099841,2475948,42.0096978075,943306,-225640,1466209
647,CNA FINL CORP,35.1523510517,55103,32.186147901,121108,31.4269850083,90050,34.4095231436,114416,66005,-31058
648,CNH INDL N V,6.840238419,2254015,6.76002942497,5444355,7.1501306061,1084176,7.21928232502,888731,3190340,-4360179
649,CNO FINL GROUP INC,19.0899245787,5334437,17.9199611018,5322612,17.4599532817,5025443,15.2699966068,4432352,-11825,-297169
650,CNOOC LTD,104.371808407,46411,117.059256533,54340,124.661453366,78645,126.495220231,60777,7929,24305
651,COACH INC,32.7296523768,2217286,40.0896672659,1995377,40.7401422701,2178392,36.5596161791,1570941,-221909,183015
652,COBALT INTL ENERGY INC,5.39981206283,2513606,2.9699952859,2628287,1.33992227152,2617316,1.23998162919,4171836,114681,-10971
653,COBIZ FINANCIAL INC,13.4202429976,1117789,11.8197226541,1185307,11.7000207138,1375895,13.3104393865,1500251,67518,190588
654,COCA COLA BOTTLING CO CONS,182.421227197,4221,159.724612737,2905,147.504621072,13525,148.184347042,13301,-1316,10620
655,COCA COLA CO,42.9600156845,11818059,46.3899798067,13605007,45.3299780911,13242561,42.3199660007,11127301,1786948,-362446
656,COCA COLA FEMSA S A B DE C V,70.838765754,6903,83.0595673464,16133,82.8853046595,4464,74.9929606107,31963,9230,-11669
657,CODEXIS INC,4.2393902494,22173,3.11649172075,58399,4.014878668,16937,4.46355669261,18371,36226,-41462
658,COEUR MNG INC,2.47900209893,292053,5.62114580651,163134,10.6597489833,2393865,11.8298979566,2578805,-128919,2230731
659,COGENT COMMUNICATIONS HLDGS,34.6882011378,119003,39.0305220568,254570,40.0598687382,275937,36.8085993073,347935,135567,21367
660,COGNEX CORP,33.7790985636,50475,38.9486585864,132174,43.0994742401,171371,52.8599013892,266705,81699,39197
661,COGNIZANT TECHNOLOGY SOLUTIO,60.0199401795,3941790,62.7000994921,3283679,57.2397968981,4410987,47.7099081463,4304347,-658111,1127308
662,COHEN & STEERS INC,30.4966090571,45710,38.923172734,176630,40.4404709121,151111,42.7539421002,93161,130920,-25519
663,COHERENT INC,65.1094144694,35233,91.9092718563,45719,91.7654398004,48090,110.539599756,83599,10486,2371
664,COHU INC,12.0735019521,47128,11.8703680442,47766,10.8520610504,83210,11.7439445286,64033,638,35444
665,COLFAX CORP,23.3560681002,96035,28.5894336586,280873,26.4576276267,166795,31.4305483249,747203,184838,-114078
666,COLGATE PALMOLIVE CO,66.619997619,4905464,70.6501629095,4359169,73.1997185353,3335409,74.1399450448,2981699,-546295,-1023760
667,COLLEGIUM PHARMACEUTICAL INC,27.5015918107,40834,18.1444256477,60294,11.8399564507,44088,19.2274380738,11546,19460,-16206
668,COLLIERS INTL GROUP INC,44.5482024792,114797,37.8654424456,56199,34.1215764863,37425,42.0604395604,36400,-58598,-18774
669,COLONY CAP INC,19.4798321004,897441,16.7697402504,959347,15.3497442378,1744003,18.2297164169,1136880,61906,784656
670,COLUMBIA BKG SYS INC,32.5088713522,188810,29.920369083,1582300,28.060191169,1784913,32.7204126641,1941143,1393490,202613
671,COLUMBIA PIPELINE PARTNERS L,17.4795967995,1725097,14.6000859523,1610196,15.0003327787,751250,16.1401478734,2468193,-114901,-858946
672,COLUMBIA PPTY TR INC,23.4809081335,591587,21.9909092594,377747,21.3998737102,720565,22.3900865971,2783464,-213840,342818
673,COLUMBIA SPORTSWEAR CO,48.7525865114,118886,60.0905122015,475516,57.5404978174,620589,56.7404538679,789613,356630,145073
674,COLUMBUS MCKINNON CORP N Y,18.8882892607,12971,15.7670063343,29048,14.1649531643,26262,17.8438470821,38949,16077,-2786
675,COMCAST CORP NEW,56.430078985,14234483,61.0799905257,11297988,65.190024638,13016470,66.3399346909,11431184,-2936495,1718482
676,COMERICA INC,41.8300905585,674371,37.8699809889,3076104,41.1300814358,3612660,47.3199903052,3032545,2401733,536556
677,COMFORT SYS USA INC,28.4230321483,223340,31.7708919483,319884,32.5695631472,291929,29.3076944068,219874,96544,-27955
678,COMMERCE BANCSHARES INC,42.536615028,210501,44.9508734379,361617,47.9002548608,603859,49.2596716464,753517,151116,242242
679,COMMERCIAL METALS CO,13.6900611074,2855137,16.9698753814,3390184,16.9000491935,3724072,16.1899279449,2503223,535047,333888
680,COMMERCIAL VEH GROUP INC,2.76057599045,13403,2.65449522551,83255,5.20423117953,100303,5.78000502609,67647,69852,17048
681,COMMSCOPE HLDG CO INC,25.8897467658,688651,27.9211994721,604666,31.0299432549,530971,30.1099575574,997112,-83985,-73695
682,COMMUNICATIONS SALES&LEAS IN,18.69109657,702527,22.2515747068,576139,28.8998654585,2446828,31.409950888,2702392,-126388,1870689
683,COMMUNITY BANKERS TR CORP,5.38152860298,32147,5.00367917586,27180,5.17943026267,24327,5.39933480195,23151,-4967,-2853
684,COMMUNITY BK SYS INC,39.9396868194,1151987,38.2098552435,1138947,41.0895996229,1154112,48.1103592591,1169852,-13040,15165
685,COMMUNITY HEALTH SYS INC NEW,24.4672105182,1310039,15.5341987195,1281817,10.1873545963,1332927,10.4434392479,2168730,-28222,51110
686,COMMUNITY HEALTHCARE TR INC,18.429764222,523501,18.4892860369,608785,21.1392604346,647894,21.9204040051,217423,85284,39109
687,COMMVAULT SYSTEMS INC,39.3501855402,932143,43.1703596702,1348541,43.1900468244,1450311,53.1301094638,1262975,416398,101770
688,COMPANHIA DE SANEAMENTO BASI,4.59912756157,852553,6.60218867076,364879,8.96022695573,1308449,9.26017844236,1863571,-487674,943570
689,COMPANHIA ENERGETICA DE MINA,1.4998382808,2794968,2.26014230042,3828520,2.21005019298,10468993,2.58994364976,11811840,1033552,6640473
690,COMPANHIA SIDERURGICA NACION,0.975732709731,1785325,1.97242140099,226625,2.44971249011,233905,2.75907596345,236311,-1558700,7280
691,COMPANIA CERVECERIAS UNIDAS,21.6610778037,59046,22.4473579658,50340,23.3325025403,52159,20.1900361131,96087,-8706,1819
692,COMPANIA DE MINAS BUENAVENTU,4.28150164455,634824,7.36042319485,593580,11.9505177157,1428390,13.8401678547,1096663,-41244,834810
693,COMPASS DIVERSIFIED HOLDINGS,15.8874445757,99009,15.6531209333,108349,16.591936735,105714,17.3763193796,125343,9340,-2635
694,COMPASS MINERALS INTL INC,75.2835711672,32796,70.8446866485,22387,74.1908412529,44089,73.7026121452,89237,-10409,21702
695,COMPUGEN LTD,6.34690361774,11029,5.57745221983,13447,6.49350649351,14630,6.27556452065,17847,2418,1183
696,COMPUTER PROGRAMS & SYS INC,49.7432693091,36809,52.1258067821,48805,39.9202522255,21568,26.0541041451,28057,11996,-27237
697,COMPUTER SCIENCES CORP,32.6799733418,1308416,34.3904400957,1310306,49.6501489968,1338284,52.2100727903,2664505,1890,27978
698,COMPUTER TASK GROUP INC,6.62041876524,31569,5.12820512821,11505,4.97060071528,16497,4.68136514648,13244,-20064,4992
699,COMSCORE INC,41.2060301508,7960,30.0320833114,38026,23.8690792975,37580,30.6606417901,383521,30066,-446
700,COMSTOCK MNG INC,0.373412994772,10712,0.365393203686,24631,0.365883405155,24598,0.364225010117,24710,13919,-33
701,COMSTOCK RES INC,1.86930325969,258920,0.765893950098,605828,0.838323353293,141950,7.62369048854,19282,346908,-463878
