nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
1 800 FLOWERS COM,CMN,68243Q106,107,14649,SH,DFND,1,14649,0,0,
1ST CENTURY BANCSHARES INC,CMN,31943X102,90,13044,SH,DFND,1,13044,0,0,
1ST SOURCE CORP,CMN,336901103,1111,35991,SH,DFND,2,35991,0,0,
21VIANET GROUP INC,CMN,90138A103,4629,218966,SH,DFND,1,218966,0,0,
22ND CENTY GROUP INC,CMN,90137F103,68,48608,SH,DFND,1,48608,0,0,
2U INC,CMN,90214J101,978,34937,SH,DFND,1,34937,0,0,
2U INC,CMN,90214J101,28,1000,SH,DFND,1,1000,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,15444,1777218,SH,DFND,1,1777218,0,0,
3-D SYS CORP DEL,CMN,88554D205,13888,1598200,SH,DFND,1,1598200,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,1545,177800,SH,DFND,1,177800,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,115,13237,SH,DFND,2,13237,0,0,
3M CO,CMN,88579Y101,188318,1250120,SH,DFND,1,1195652,0,54468,
3M CO,CMN,88579Y101,47783,317200,SH,DFND,1,317200,0,0,Put
3M CO,CMN,88579Y101,27808,184600,SH,DFND,1,184600,0,0,Call
3M CO,CMN,88579Y101,120699,801241,SH,DFND,2,788806,0,12435,
3M CO,CMN,88579Y101,2699,17916,SH,DFND,6,17916,0,0,
500 COM LTD,CMN,33829R100,191,9487,SH,DFND,1,9487,0,0,
500 COM LTD,CMN,33829R100,54,2700,SH,DFND,1,2700,0,0,Call
500 COM LTD,CMN,33829R100,589,29300,SH,DFND,1,29300,0,0,Put
58 COM INC,CMN,31680Q104,4829,73211,SH,DFND,1,73211,0,0,
58 COM INC,CMN,31680Q104,633,9600,SH,DFND,1,9600,0,0,Put
58 COM INC,CMN,31680Q104,429,6500,SH,DFND,1,6500,0,0,Call
58 COM INC,CMN,31680Q104,7000,106124,SH,DFND,2,106124,0,0,
58 COM INC,CMN,31680Q104,246,3724,SH,DFND,7,3724,0,0,
6D GLOBAL TECHNOLOGIES INC,CMN,83002F100,372,127722,SH,DFND,1,127722,0,0,
8POINT3 ENERGY PARTNERS LP,CMN,282539105,300,18573,SH,DFND,1,18573,0,0,
8X8 INC NEW,CMN,282914100,225,19620,SH,DFND,1,19620,0,0,
8X8 INC NEW,CMN,282914100,142,12365,SH,DFND,2,12365,0,0,
A H BELO CORP,CMN,001282102,150,29959,SH,DFND,1,29959,0,0,
A10 NETWORKS INC,CMN,002121101,79,12086,SH,DFND,1,12086,0,0,
A10 NETWORKS INC,CMN,002121101,118,17990,SH,DFND,2,17990,0,0,
AAON INC,CMN,000360206,661,28450,SH,DFND,1,28450,0,0,
AAR CORP,CMN,000361105,514,19556,SH,DFND,1,18249,0,1307,
AAR CORP,CMN,000361105,504,19187,SH,DFND,2,19187,0,0,
AARONS INC,CMN,002535300,6137,274108,SH,DFND,1,274108,0,0,
AARONS INC,CMN,002535300,22,1000,SH,DFND,1,1000,0,0,Call
AARONS INC,CMN,002535300,208,9300,SH,DFND,1,9300,0,0,Put
AARONS INC,CMN,002535300,1309,58478,SH,DFND,2,58478,0,0,
ABAXIS INC,CMN,002567105,1277,22940,SH,DFND,1,22940,0,0,
ABB LTD,CMN,000375204,7295,411432,SH,DFND,1,411222,0,210,
ABB LTD,CMN,000375204,301,17000,SH,DFND,1,17000,0,0,Call
ABB LTD,CMN,000375204,92,5200,SH,DFND,1,5200,0,0,Put
ABB LTD,CMN,000375204,8049,453958,SH,DFND,2,453958,0,0,
ABBOTT LABS,CMN,002824100,252825,5629583,SH,DFND,1,2031739,0,3597844,
ABBOTT LABS,CMN,002824100,7298,162500,SH,DFND,1,162500,0,0,Put
ABBOTT LABS,CMN,002824100,10931,243400,SH,DFND,1,243400,0,0,Call
ABBOTT LABS,CMN,002824100,535430,11922282,SH,DFND,2,9684562,0,2237720,
ABBOTT LABS,CMN,002824100,84065,1871865,SH,DFND,3,38,0,1871827,
ABBOTT LABS,CMN,002824100,4923,109610,SH,DFND,4,0,0,109610,
ABBOTT LABS,CMN,002824100,47412,1055720,SH,DFND,5,5916,0,1049804,
ABBOTT LABS,CMN,002824100,5781,128715,SH,DFND,6,128715,0,0,
ABBOTT LABS,CMN,002824100,1775,39515,SH,OTR,"6,2",0,39515,0,
ABBVIE INC,CMN,00287Y109,269097,4542496,SH,DFND,1,3052508,0,1489988,
ABBVIE INC,CMN,00287Y109,21557,363900,SH,DFND,1,363900,0,0,Call
ABBVIE INC,CMN,00287Y109,60028,1013308,SH,DFND,1,1013308,0,0,Put
ABBVIE INC,CMN,00287Y109,138879,2344352,SH,DFND,2,2315246,0,29106,
ABBVIE INC,CMN,00287Y109,4016,67797,SH,DFND,6,67797,0,0,
ABBVIE INC,CMN,00287Y109,499,8425,SH,OTR,"6,2",0,8425,0,
ABENGOA SA,CMN,00289R201,247,192933,SH,DFND,1,192933,0,0,
ABENGOA SA,CMN,00289R201,154,120000,SH,DFND,3,120000,0,0,
