nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt/sshPrnamt,shrsOrPrnAmt/sshPrnamtType,investmentDiscretion,otherManager,votingAuthority/Sole,votingAuthority/Shared,votingAuthority/None,putCall
ABBVIE INC,CMN,00287Y109,251675,4019087,SH,DFND,1,2536132,0,1482955,
ABBVIE INC,CMN,00287Y109,37466,598300,SH,DFND,1,598300,0,0,Put
ABBVIE INC,CMN,00287Y109,26864,429000,SH,DFND,1,429000,0,0,Call
ABBVIE INC,CMN,00287Y109,222497,3553136,SH,DFND,2,3458637,0,94499,
ABBVIE INC,CMN,00287Y109,1613,25763,SH,DFND,3,558,0,25205,
ABBVIE INC,CMN,00287Y109,421,6725,SH,DFND,5,2125,0,4600,
ABBVIE INC,CMN,00287Y109,4480,71540,SH,DFND,6,71540,0,0,
ABBVIE INC,CMN,00287Y109,1679,26809,SH,OTR,"6,2",0,26809,0,
ABEONA THERAPEUTICS INC,CMN,00289Y107,58,11962,SH,DFND,1,11962,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,6038,503188,SH,DFND,1,503188,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,1367,113900,SH,DFND,1,113900,0,0,Put
ABERCROMBIE & FITCH CO,CMN,002896207,5796,483000,SH,DFND,1,483000,0,0,Call
ABERCROMBIE & FITCH CO,CMN,002896207,176,14636,SH,DFND,2,14636,0,0,
ABIOMED INC,CMN,003654100,29139,258602,SH,DFND,1,258592,0,10,
ABIOMED INC,CMN,003654100,28520,253107,SH,DFND,2,252218,0,889,
ABM INDS INC,CMN,000957100,3429,83959,SH,DFND,1,83959,0,0,
ABM INDS INC,CMN,000957100,80419,1969115,SH,DFND,2,1857243,0,111872,
ABM INDS INC,CMN,000957100,204,4995,SH,DFND,6,4995,0,0,
ABRAXAS PETE CORP,CMN,003830106,491,190893,SH,DFND,1,190893,0,0,
AC IMMUNE SA,CMN,H00263105,136,10495,SH,DFND,1,10495,0,0,
ACACIA COMMUNICATIONS INC,CMN,00401C108,439,7103,SH,DFND,1,7103,0,0,
ACACIA RESH CORP,CMN,003881307,721,110931,SH,DFND,1,110931,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,33111,1000338,SH,DFND,1,1000338,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,4118,124400,SH,DFND,1,124400,0,0,Put
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,45619,1378216,SH,DFND,2,1336414,0,41802,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,204,6168,SH,DFND,6,6168,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,13646,473150,SH,DFND,1,473150,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,1846,64000,SH,DFND,1,64000,0,0,Put
ACADIA PHARMACEUTICALS INC,CMN,004225108,30853,1069811,SH,DFND,2,1050761,0,19050,
ACADIA PHARMACEUTICALS INC,CMN,004225108,37,1297,SH,OTR,"6,2",0,1297,0,
ACADIA RLTY TR,CMN,004239109,20657,632108,SH,DFND,1,632108,0,0,
ACADIA RLTY TR,CMN,004239109,142999,4375733,SH,DFND,2,4183311,0,192422,
ACADIA RLTY TR,CMN,004239109,321,9837,SH,DFND,6,9837,0,0,
ACCELERON PHARMA INC,CMN,00434H108,901,35321,SH,DFND,1,35321,0,0,
ACCELERON PHARMA INC,CMN,00434H108,11190,438484,SH,DFND,2,438484,0,0,
ACCENTURE PLC IRELAND,CMN,G1151C101,214126,1828106,SH,DFND,1,1747728,0,80378,
ACCENTURE PLC IRELAND,CMN,G1151C101,19572,167100,SH,DFND,1,167100,0,0,Call
ACCENTURE PLC IRELAND,CMN,G1151C101,18577,158600,SH,DFND,1,158600,0,0,Put
ACCENTURE PLC IRELAND,CMN,G1151C101,144477,1233474,SH,DFND,2,1213264,0,20210,
ACCENTURE PLC IRELAND,CMN,G1151C101,1591,13582,SH,OTR,"6,2",0,13582,0,
ACCESS NATL CORP,CMN,004337101,329,11854,SH,DFND,1,11854,0,0,
ACCO BRANDS CORP,CMN,00081T108,701,53716,SH,DFND,1,53716,0,0,
ACCO BRANDS CORP,CMN,00081T108,1508,115544,SH,DFND,2,115544,0,0,
ACCO BRANDS CORP,CMN,00081T108,444,34018,SH,DFND,6,34018,0,0,
ACCURAY INC,CMN,004397105,64,13950,SH,DFND,1,13950,0,0,
ACELRX PHARMACEUTICALS INC,CMN,00444T100,56,21608,SH,DFND,1,21608,0,0,
ACETO CORP,CMN,004446100,1190,54148,SH,DFND,1,54148,0,0,
ACETO CORP,CMN,004446100,372,16918,SH,DFND,2,16918,0,0,
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,15452,3741446,SH,DFND,1,3741446,0,0,
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,108,26100,SH,DFND,1,26100,0,0,Put
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,212,51400,SH,DFND,1,51400,0,0,Call
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,2935,710596,SH,DFND,2,710596,0,0,
ACI WORLDWIDE INC,CMN,004498101,6600,363625,SH,DFND,1,363625,0,0,
ACI WORLDWIDE INC,CMN,004498101,2049,112906,SH,DFND,2,112906,0,0,
ACORDA THERAPEUTICS INC,CMN,00484M106,3846,204552,SH,DFND,1,204552,0,0,
ACORDA THERAPEUTICS INC,CNV,00484MAA4,1563,2057000,PRN,DFND,1,2057000,0,0,
ACORDA THERAPEUTICS INC,CMN,00484M106,2629,139845,SH,DFND,2,139845,0,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,88402,2448123,SH,DFND,1,2447743,0,380,
ACTIVISION BLIZZARD INC,CMN,00507V109,15376,425800,SH,DFND,1,425800,0,0,Put
ACTIVISION BLIZZARD INC,CMN,00507V109,23616,654000,SH,DFND,1,654000,0,0,Call
ACTIVISION BLIZZARD INC,CMN,00507V109,52739,1460497,SH,DFND,2,1372580,0,87917,
ACTIVISION BLIZZARD INC,CMN,00507V109,421,11646,SH,DFND,6,11646,0,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,828,22938,SH,OTR,"6,2",0,22938,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,716,19825,SH,DFND,7,19825,0,0,
ACTUA CORP,CMN,005094107,373,26649,SH,DFND,1,26649,0,0,
ACTUANT CORP,CMN,00508X203,1960,75544,SH,DFND,1,75544,0,0,
ACTUANT CORP,CMN,00508X203,23,900,SH,DFND,1,900,0,0,Call
ACTUANT CORP,CMN,00508X203,503,19373,SH,DFND,2,19373,0,0,
ACUITY BRANDS INC,CMN,00508Y102,32258,139731,SH,DFND,1,134005,0,5726,
ACUITY BRANDS INC,CMN,00508Y102,12583,54505,SH,DFND,2,53181,0,1324,
ACUITY BRANDS INC,CMN,00508Y102,1049,4543,SH,DFND,3,12,0,4531,
ACUSHNET HOLDINGS CORP,CMN,005098108,711,36049,SH,DFND,1,36049,0,0,
ACXIOM CORP,CMN,005125109,4754,177381,SH,DFND,1,177321,0,60,
ACXIOM CORP,CMN,005125109,139,5200,SH,DFND,1,5200,0,0,Call
ACXIOM CORP,CMN,005125109,1556,58047,SH,DFND,2,58047,0,0,
ACXIOM CORP,CMN,005125109,374,13967,SH,DFND,6,13967,0,0,
ADAMAS PHARMACEUTICALS INC,CMN,00548A106,329,19461,SH,DFND,1,19461,0,0,
ADCARE HEALTH SYSTEMS INC,CMN,00650W300,1138,779463,SH,DFND,1,779463,0,0,
ADECOAGRO S A,CMN,L00849106,111,10710,SH,DFND,1,10710,0,0,
ADECOAGRO S A,CMN,L00849106,104,10058,SH,DFND,3,10058,0,0,
ADEPTUS HEALTH INC,CMN,006855100,907,118766,SH,DFND,1,118766,0,0,
ADIENT PLC,CMN,G0084W101,8364,142726,SH,DFND,1,141987,0,739,
ADIENT PLC,CMN,G0084W101,90,1540,SH,DFND,1,1540,0,0,Put
ADIENT PLC,CMN,G0084W101,208,3542,SH,DFND,1,3542,0,0,Call
ADIENT PLC,CMN,G0084W101,3471,59224,SH,DFND,2,59224,0,0,
ADOBE SYS INC,CMN,00724F101,126189,1225729,SH,DFND,1,1222763,0,2966,
ADOBE SYS INC,CMN,00724F101,28836,280100,SH,DFND,1,280100,0,0,Call
ADOBE SYS INC,CMN,00724F101,46101,447800,SH,DFND,1,447800,0,0,Put
ADOBE SYS INC,CMN,00724F101,148497,1442423,SH,DFND,2,1378137,0,64286,
ADOBE SYS INC,CMN,00724F101,2719,26415,SH,DFND,6,26415,0,0,
ADOBE SYS INC,CMN,00724F101,1062,10319,SH,OTR,"6,2",0,10319,0,
ADTRAN INC,CMN,00738A106,2005,89712,SH,DFND,1,89712,0,0,
ADTRAN INC,CMN,00738A106,742,33200,SH,DFND,1,33200,0,0,Call
ADTRAN INC,CMN,00738A106,179,8000,SH,DFND,1,8000,0,0,Put
ADTRAN INC,CMN,00738A106,276,12369,SH,DFND,2,12369,0,0,
ADTRAN INC,CMN,00738A106,249,11153,SH,DFND,6,11153,0,0,
ADURO BIOTECH INC,CMN,00739L101,627,54987,SH,DFND,1,54987,0,0,
ADVANCE AUTO PARTS INC,CMN,00751Y106,70335,415887,SH,DFND,1,415872,0,15,
ADVANCE AUTO PARTS INC,CMN,00751Y106,1404,8300,SH,DFND,1,8300,0,0,Put
ADVANCE AUTO PARTS INC,CMN,00751Y106,1505,8900,SH,DFND,1,8900,0,0,Call
ADVANCE AUTO PARTS INC,CMN,00751Y106,108430,641144,SH,DFND,2,613261,0,27883,
ADVANCE AUTO PARTS INC,CMN,00751Y106,316,1869,SH,DFND,6,1869,0,0,
ADVANCE AUTO PARTS INC,CMN,00751Y106,293,1732,SH,OTR,"6,2",0,1732,0,
ADVANCED DISP SVCS INC DEL,CMN,00790X101,1122,50485,SH,DFND,1,50485,0,0,
ADVANCED DISP SVCS INC DEL,CMN,00790X101,33796,1520968,SH,DFND,2,1431203,0,89765,
ADVANCED ENERGY INDS,CMN,007973100,7036,128515,SH,DFND,1,128515,0,0,
ADVANCED ENERGY INDS,CMN,007973100,9514,173773,SH,DFND,2,173773,0,0,
ADVANCED MICRO DEVICES INC,CMN,007903107,27248,2402807,SH,DFND,1,2402807,0,0,
ADVANCED MICRO DEVICES INC,CMN,007903107,22170,1955000,SH,DFND,1,1955000,0,0,Put
ADVANCED MICRO DEVICES INC,CMN,007903107,26644,2349600,SH,DFND,1,2349600,0,0,Call
ADVANCED MICRO DEVICES INC,CMN,007903107,3256,287106,SH,DFND,2,287106,0,0,
ADVANCED SEMICONDUCTOR ENGR,CMN,00756M404,165,32667,SH,DFND,1,30929,0,1738,
ADVANCEPIERRE FOODS HLDGS IN,CMN,00782L107,2862,96092,SH,DFND,1,95992,0,100,
ADVANCEPIERRE FOODS HLDGS IN,CMN,00782L107,56537,1898475,SH,DFND,2,1787751,0,110724,
ADVANSIX INC,CMN,00773T101,7800,352305,SH,DFND,1,352206,0,99,
ADVANSIX INC,CMN,00773T101,257,11612,SH,DFND,1,11612,0,0,Put
ADVANSIX INC,CMN,00773T101,199,9008,SH,DFND,1,9008,0,0,Call
ADVANSIX INC,CMN,00773T101,936,42254,SH,DFND,2,42231,0,23,
ADVANTAGE OIL & GAS LTD,CMN,00765F101,48,7088,SH,DFND,1,7088,0,0,
ADVANTAGE OIL & GAS LTD,CMN,00765F101,113,16800,SH,DFND,1,16800,0,0,Call
ADVANTAGE OIL & GAS LTD,CMN,00765F101,26,3800,SH,DFND,1,3800,0,0,Put
ADVANTAGE OIL & GAS LTD,CMN,00765F101,289,42800,SH,DFND,2,42800,0,0,
ADVANTAGE OIL & GAS LTD,CMN,00765F101,127,18744,SH,DFND,3,18744,0,0,
ADVAXIS INC,CMN,007624208,339,47381,SH,DFND,1,47381,0,0,
ADVERUM BIOTECHNOLOGIES INC,CMN,00773U108,108,37254,SH,DFND,1,37254,0,0,
ADVISORSHARES TR,CMN,00768Y826,572,19525,SH,DFND,1,19525,0,0,
ADVISORY BRD CO,CMN,00762W107,3317,99759,SH,DFND,1,99759,0,0,
AECOM,CMN,00766T100,13123,360923,SH,DFND,1,360923,0,0,
AECOM,CMN,00766T100,258,7100,SH,DFND,1,7100,0,0,Put
AECOM,CMN,00766T100,375,10300,SH,DFND,1,10300,0,0,Call
AECOM,CMN,00766T100,10543,289967,SH,DFND,2,286626,0,3341,
AEGEAN MARINE PETROLEUM NETW,CMN,Y0017S102,1199,118143,SH,DFND,1,118143,0,0,
AEGION CORP,CMN,00770F104,2549,107567,SH,DFND,1,101972,0,5595,
AEGION CORP,CMN,00770F104,4236,178752,SH,DFND,2,178752,0,0,
AEGLEA BIOTHERAPEUTICS INC,CMN,00773J103,45,10386,SH,DFND,1,10386,0,0,
AEGON N V,CMN,007924103,765,138321,SH,DFND,1,95814,0,42507,
AEGON N V,CMN,007924103,4382,792434,SH,DFND,2,792434,0,0,
AEMETIS INC,CMN,00770K202,22,15512,SH,DFND,1,15512,0,0,
AEP INDS INC,CMN,001031103,3757,32356,SH,DFND,1,32356,0,0,
AEP INDS INC,CMN,001031103,243,2089,SH,DFND,2,2089,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,9066,217885,SH,DFND,1,217885,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,6978,167700,SH,DFND,1,167700,0,0,Put
AERCAP HOLDINGS NV,CMN,N00985106,9533,229100,SH,DFND,1,229100,0,0,Call
AERCAP HOLDINGS NV,CMN,N00985106,12985,312057,SH,DFND,2,278336,0,33721,
AERCAP HOLDINGS NV,CMN,N00985106,779,18730,SH,DFND,3,18730,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,242,5807,SH,DFND,6,5807,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,407,9775,SH,OTR,"6,2",0,9775,0,
AERIE PHARMACEUTICALS INC,CMN,00771V108,6223,164421,SH,DFND,1,164421,0,0,
AERIE PHARMACEUTICALS INC,CMN,00771V108,347,9159,SH,DFND,2,9159,0,0,
AEROHIVE NETWORKS INC,CMN,007786106,69,12083,SH,DFND,1,2083,0,10000,
AEROHIVE NETWORKS INC,CMN,007786106,58,10137,SH,DFND,2,10137,0,0,
AEROJET ROCKETDYNE HLDGS INC,CMN,007800105,3349,186565,SH,DFND,1,186565,0,0,
AEROVIRONMENT INC,CMN,008073108,1861,69359,SH,DFND,1,69359,0,0,
AEROVIRONMENT INC,CMN,008073108,35595,1326681,SH,DFND,2,1326681,0,0,
AEROVIRONMENT INC,CMN,008073108,220,8217,SH,DFND,6,8217,0,0,
AES CORP,CMN,00130H105,27084,2330811,SH,DFND,1,1456002,0,874809,
AES CORP,CMN,00130H105,388,33400,SH,DFND,1,33400,0,0,Call
AES CORP,CMN,00130H105,173,14900,SH,DFND,1,14900,0,0,Put
AES CORP,CMN,00130H105,48076,4137354,SH,DFND,2,3956483,0,180871,
AES CORP,CMN,00130H105,1488,128068,SH,DFND,3,221,0,127847,
AES CORP,CMN,00130H105,746,64193,SH,DFND,6,64193,0,0,
AES CORP,CMN,00130H105,925,79624,SH,OTR,"6,2",0,79624,0,
AETNA INC NEW,CMN,00817Y108,216702,1747459,SH,DFND,1,1746861,0,598,
AETNA INC NEW,CMN,00817Y108,118417,954900,SH,DFND,1,954900,0,0,Put
AETNA INC NEW,CMN,00817Y108,125573,1012600,SH,DFND,1,1012600,0,0,Call
AETNA INC NEW,CMN,00817Y108,162119,1307302,SH,DFND,2,1232990,0,74312,
AETNA INC NEW,CMN,00817Y108,2409,19424,SH,DFND,6,19424,0,0,
AETNA INC NEW,CMN,00817Y108,270,2180,SH,OTR,"6,2",0,2180,0,
AEVI GENOMIC MEDICINE INC,CMN,00835P105,94,18178,SH,DFND,1,18178,0,0,
AFFILIATED MANAGERS GROUP,CMN,008252108,31870,219342,SH,DFND,1,159240,0,60102,
AFFILIATED MANAGERS GROUP,CMN,008252108,13164,90600,SH,DFND,1,90600,0,0,Put
AFFILIATED MANAGERS GROUP,CMN,008252108,116,800,SH,DFND,1,800,0,0,Call
AFFILIATED MANAGERS GROUP,CMN,008252108,178997,1231915,SH,DFND,2,1124359,0,107556,
AFFILIATED MANAGERS GROUP,CMN,008252108,50364,346620,SH,DFND,3,14,0,346606,
AFFILIATED MANAGERS GROUP,CMN,008252108,3379,23255,SH,DFND,4,0,0,23255,
AFFILIATED MANAGERS GROUP,CMN,008252108,213,1464,SH,DFND,6,1464,0,0,
AFFILIATED MANAGERS GROUP,CMN,008252108,268,1844,SH,OTR,"6,2",0,1844,0,
AFFIMED N V,CMN,N01045108,173,95968,SH,DFND,1,95968,0,0,
AFLAC INC,CMN,001055102,179252,2575460,SH,DFND,1,2565213,0,10247,
AFLAC INC,CMN,001055102,97329,1398400,SH,DFND,1,1398400,0,0,Call
AFLAC INC,CMN,001055102,14957,214900,SH,DFND,1,214900,0,0,Put
AFLAC INC,CMN,001055102,33822,485943,SH,DFND,2,481172,0,4771,
AFLAC INC,CMN,001055102,1947,27976,SH,DFND,6,27976,0,0,
AG MTG INVT TR INC,CMN,001228105,727,42489,SH,DFND,1,42489,0,0,
AG MTG INVT TR INC,CMN,001228105,245,14312,SH,DFND,2,14312,0,0,
AGCO CORP,CMN,001084102,41938,724827,SH,DFND,1,724427,0,400,
AGCO CORP,CMN,001084102,2760,47700,SH,DFND,1,47700,0,0,Call
AGCO CORP,CMN,001084102,1105,19100,SH,DFND,1,19100,0,0,Put
AGCO CORP,CMN,001084102,3850,66544,SH,DFND,2,61595,0,4949,
AGCO CORP,CMN,001084102,214,3698,SH,DFND,6,3698,0,0,
AGENUS INC,CMN,00847G705,78,18982,SH,DFND,1,18982,0,0,
AGILENT TECHNOLOGIES INC,CMN,00846U101,95888,2104644,SH,DFND,1,2085312,0,19332,
AGILENT TECHNOLOGIES INC,CMN,00846U101,1298,28500,SH,DFND,1,28500,0,0,Call
AGILENT TECHNOLOGIES INC,CMN,00846U101,761,16700,SH,DFND,1,16700,0,0,Put
AGILENT TECHNOLOGIES INC,CMN,00846U101,128914,2829550,SH,DFND,2,2629558,0,199992,
AGILENT TECHNOLOGIES INC,CMN,00846U101,566,12420,SH,DFND,6,12420,0,0,
AGILENT TECHNOLOGIES INC,CMN,00846U101,263,5764,SH,OTR,"6,2",0,5764,0,
AGILYSYS INC,CMN,00847J105,454,43826,SH,DFND,1,43826,0,0,
AGIOS PHARMACEUTICALS INC,CMN,00847X104,1892,45347,SH,DFND,1,45305,0,42,
AGIOS PHARMACEUTICALS INC,CMN,00847X104,1302,31198,SH,DFND,2,31198,0,0,
AGNC INVT CORP,CMN,00123Q104,37388,2062205,SH,DFND,1,2058905,0,3300,
AGNC INVT CORP,CMN,00123Q104,270,14900,SH,DFND,1,14900,0,0,Put
AGNC INVT CORP,CMN,00123Q104,290,16000,SH,DFND,1,16000,0,0,Call
AGNC INVT CORP,CMN,00123Q104,40592,2238948,SH,DFND,2,1985132,0,253816,
AGNC INVT CORP,CMN,00123Q104,1,70,SH,DFND,6,70,0,0,
AGNC INVT CORP,CMN,00123Q104,497,27404,SH,OTR,"6,2",0,27404,0,
AGNICO EAGLE MINES LTD,CMN,008474108,9894,235565,SH,DFND,1,235515,0,50,
AGNICO EAGLE MINES LTD,CMN,008474108,10147,241600,SH,DFND,1,241600,0,0,Put
AGNICO EAGLE MINES LTD,CMN,008474108,15897,378500,SH,DFND,1,378500,0,0,Call
AGNICO EAGLE MINES LTD,CMN,008474108,5553,132226,SH,DFND,2,128912,0,3314,
AGNICO EAGLE MINES LTD,CMN,008474108,10809,257353,SH,DFND,3,257353,0,0,
AGREE REALTY CORP,CMN,008492100,2760,59931,SH,DFND,1,59931,0,0,
AGRIUM INC,CMN,008916108,44327,440844,SH,DFND,1,440824,0,20,
AGRIUM INC,CMN,008916108,2755,27400,SH,DFND,1,27400,0,0,Put
AGRIUM INC,CMN,008916108,1448,14400,SH,DFND,1,14400,0,0,Call
AGRIUM INC,CMN,008916108,6902,68638,SH,DFND,2,68287,0,351,
AGRIUM INC,CMN,008916108,13425,133518,SH,DFND,3,133518,0,0,
AIMMUNE THERAPEUTICS INC,CMN,00900T107,863,42216,SH,DFND,1,42216,0,0,
AIR LEASE CORP,CMN,00912X302,12441,362396,SH,DFND,1,362391,0,5,
AIR LEASE CORP,CMN,00912X302,31,900,SH,DFND,1,900,0,0,Put
AIR LEASE CORP,CMN,00912X302,69,2000,SH,DFND,1,2000,0,0,Call
AIR LEASE CORP,CMN,00912X302,2756,80276,SH,DFND,2,80276,0,0,
AIR LEASE CORP,CMN,00912X302,276,8033,SH,DFND,6,8033,0,0,
AIR METHODS CORP,CMN,009128307,3854,121010,SH,DFND,1,121010,0,0,
AIR METHODS CORP,CMN,009128307,291,9125,SH,DFND,2,9125,0,0,
AIR METHODS CORP,CMN,009128307,235,7394,SH,DFND,6,7394,0,0,
AIR PRODS & CHEMS INC,CMN,009158106,76892,534640,SH,DFND,1,521010,0,13630,
AIR PRODS & CHEMS INC,CMN,009158106,762,5300,SH,DFND,1,5300,0,0,Put
AIR PRODS & CHEMS INC,CMN,009158106,1151,8000,SH,DFND,1,8000,0,0,Call
AIR PRODS & CHEMS INC,CMN,009158106,66202,460314,SH,DFND,2,431228,0,29086,
AIR PRODS & CHEMS INC,CMN,009158106,1227,8532,SH,DFND,6,8532,0,0,
AIR PRODS & CHEMS INC,CMN,009158106,649,4512,SH,OTR,"6,2",0,4512,0,
AIR TRANSPORT SERVICES GRP I,CMN,00922R105,421,26358,SH,DFND,1,26358,0,0,
AIRCASTLE LTD,CMN,G0129K104,1949,93475,SH,DFND,1,93475,0,0,
AIRCASTLE LTD,CMN,G0129K104,2849,136640,SH,DFND,2,136640,0,0,
AIRGAIN INC,CMN,00938A104,146,10111,SH,DFND,1,10111,0,0,
AIRMEDIA GROUP INC,CMN,009411109,174,71069,SH,DFND,1,71069,0,0,
AK STL HLDG CORP,CMN,001547108,15562,1524169,SH,DFND,1,1524169,0,0,
AK STL HLDG CORP,CMN,001547108,22042,2158900,SH,DFND,1,2158900,0,0,Call
AK STL HLDG CORP,CMN,001547108,31746,3109300,SH,DFND,1,3109300,0,0,Put
AK STL HLDG CORP,CMN,001547108,50268,4923455,SH,DFND,2,4640664,0,282791,
AK STL HLDG CORP,CMN,001547108,184,18045,SH,DFND,6,18045,0,0,
AKAMAI TECHNOLOGIES INC,CNV,00971TAG6,4840,4662000,PRN,DFND,1,4662000,0,0,
AKAMAI TECHNOLOGIES INC,CMN,00971T101,49110,736504,SH,DFND,1,736504,0,0,
AKAMAI TECHNOLOGIES INC,CMN,00971T101,6428,96400,SH,DFND,1,96400,0,0,Call
AKAMAI TECHNOLOGIES INC,CMN,00971T101,6481,97200,SH,DFND,1,97200,0,0,Put
AKAMAI TECHNOLOGIES INC,CMN,00971T101,11130,166913,SH,DFND,2,164807,0,2106,
AKEBIA THERAPEUTICS INC,CMN,00972D105,507,48669,SH,DFND,1,48669,0,0,
AKORN INC,CMN,009728106,23083,1057381,SH,DFND,1,1057381,0,0,
AKORN INC,CMN,009728106,3351,153525,SH,DFND,2,153525,0,0,
ALAMO GROUP INC,CMN,011311107,2008,26380,SH,DFND,1,26380,0,0,
ALAMO GROUP INC,CMN,011311107,518,6813,SH,DFND,2,6813,0,0,
ALAMOS GOLD INC NEW,CMN,011532108,4896,715804,SH,DFND,1,715804,0,0,
ALAMOS GOLD INC NEW,CMN,011532108,445,65122,SH,DFND,2,65122,0,0,
ALAMOS GOLD INC NEW,CMN,011532108,647,94535,SH,DFND,3,94535,0,0,
