nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt/sshPrnamt,shrsOrPrnAmt/sshPrnamtType,investmentDiscretion,otherManager,votingAuthority/Sole,votingAuthority/Shared,votingAuthority/None,putCall
ACCURAY INC,CMN,004397105,399,99700,SH,DFND,1,99700,0,0,Put
ACELRX PHARMACEUTICALS INC,CMN,00444T100,3,648,SH,DFND,1,648,0,0,
ACELRX PHARMACEUTICALS INC,CMN,00444T100,193,42000,SH,DFND,1,42000,0,0,Call
ACETO CORP,CMN,004446100,1042,92758,SH,DFND,1,92758,0,0,
ACETO CORP,CMN,004446100,243,21630,SH,DFND,2,21630,0,0,
ACHAOGEN INC,CMN,004449104,5132,321772,SH,DFND,1,321772,0,0,
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,12153,2706738,SH,DFND,1,2706738,0,0,
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,287,64000,SH,DFND,1,64000,0,0,Put
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,291,64800,SH,DFND,1,64800,0,0,Call
ACI WORLDWIDE INC,CMN,004498101,9713,426400,SH,DFND,1,426400,0,0,
ACI WORLDWIDE INC,CMN,004498101,2564,112566,SH,DFND,2,112566,0,0,
ACLARIS THERAPEUTICS INC,CMN,00461U105,2394,92755,SH,DFND,1,92755,0,0,
ACLARIS THERAPEUTICS INC,CMN,00461U105,3872,150000,SH,DFND,1,150000,0,0,Call
ACORDA THERAPEUTICS INC,CMN,00484M106,12329,521330,SH,DFND,1,521330,0,0,
ACORDA THERAPEUTICS INC,CMN,00484M106,757,32000,SH,DFND,1,32000,0,0,Put
ACORDA THERAPEUTICS INC,CMN,00484M106,449,18986,SH,DFND,2,18986,0,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,159616,2474288,SH,DFND,1,2474288,0,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,29591,458700,SH,DFND,1,458700,0,0,Call
ACTIVISION BLIZZARD INC,CMN,00507V109,21708,336500,SH,DFND,1,336500,0,0,Put
ACTIVISION BLIZZARD INC,CMN,00507V109,158584,2458280,SH,DFND,2,2344392,0,113888,
ACTIVISION BLIZZARD INC,CMN,00507V109,1108,17173,SH,DFND,6,17173,0,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,1317,20417,SH,OTR,"6,2",0,20417,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,1391,21560,SH,DFND,7,21560,0,0,
ACTUA CORP,CMN,005094107,1040,67963,SH,DFND,1,67963,0,0,
ACTUA CORP,CMN,005094107,155,10120,SH,DFND,2,10120,0,0,
ACTUANT CORP,CMN,00508X203,6222,243047,SH,DFND,1,243047,0,0,
ACTUANT CORP,CMN,00508X203,8,300,SH,DFND,1,300,0,0,Put
ACTUANT CORP,CMN,00508X203,5,200,SH,DFND,1,200,0,0,Call
ACTUANT CORP,CMN,00508X203,455,17754,SH,DFND,2,17754,0,0,
ACTUANT CORP,CMN,00508X203,239,9318,SH,DFND,6,9318,0,0,
ACUITY BRANDS INC,CMN,00508Y102,61311,357957,SH,DFND,1,353210,0,4747,
ACUITY BRANDS INC,CMN,00508Y102,16498,96321,SH,DFND,2,93931,0,2390,
ACUITY BRANDS INC,CMN,00508Y102,1367,7981,SH,DFND,3,1,0,7980,
ACUITY BRANDS INC,CMN,00508Y102,497,2900,SH,DFND,4,0,0,2900,
ACUSHNET HOLDINGS CORP,CMN,005098108,878,49434,SH,DFND,1,49434,0,0,
ACXIOM CORP,CMN,005125109,5352,217209,SH,DFND,1,217209,0,0,
ACXIOM CORP,CMN,005125109,1683,68306,SH,DFND,2,68306,0,0,
ACXIOM CORP,CMN,005125109,263,10689,SH,DFND,6,10689,0,0,
ADAMAS PHARMACEUTICALS INC,CMN,00548A106,2147,101431,SH,DFND,1,101431,0,0,
ADAMAS PHARMACEUTICALS INC,CMN,00548A106,3176,150000,SH,DFND,1,150000,0,0,Put
ADAMAS PHARMACEUTICALS INC,CMN,00548A106,635,30000,SH,DFND,1,30000,0,0,Call
ADAPTIMMUNE THERAPEUTICS PLC,CMN,00653A107,406,49600,SH,DFND,1,49600,0,0,
ADCARE HEALTH SYSTEMS INC,CMN,00650W300,14,15084,SH,DFND,1,15084,0,0,
ADECOAGRO S A,CMN,L00849106,10592,980749,SH,DFND,1,980749,0,0,
ADIENT PLC,CMN,G0084W101,31238,371930,SH,DFND,1,371218,0,712,
ADIENT PLC,CMN,G0084W101,13375,159244,SH,DFND,1,159244,0,0,Call
ADIENT PLC,CMN,G0084W101,429,5110,SH,DFND,1,5110,0,0,Put
ADIENT PLC,CMN,G0084W101,5520,65723,SH,DFND,2,65723,0,0,
ADOBE SYS INC,CMN,00724F101,209741,1405962,SH,DFND,1,1403579,0,2383,
ADOBE SYS INC,CMN,00724F101,26345,176600,SH,DFND,1,176600,0,0,Call
ADOBE SYS INC,CMN,00724F101,47335,317300,SH,DFND,1,317300,0,0,Put
ADOBE SYS INC,CMN,00724F101,370491,2483518,SH,DFND,2,2236908,0,246610,
ADOBE SYS INC,CMN,00724F101,23914,160300,SH,DFND,2,107000,0,53300,Call
ADOBE SYS INC,CMN,00724F101,381,2556,SH,DFND,3,2556,0,0,
ADOBE SYS INC,CMN,00724F101,222,1488,SH,DFND,5,1488,0,0,
ADOBE SYS INC,CMN,00724F101,3602,24144,SH,DFND,6,24144,0,0,
ADOBE SYS INC,CMN,00724F101,1502,10069,SH,OTR,"6,2",0,10069,0,
ADOBE SYS INC,CMN,00724F101,1059,7101,SH,DFND,7,7101,0,0,
ADOMANI INC,CMN,00726A100,605,86976,SH,DFND,1,86976,0,0,
ADTALEM GLOBAL ED INC,CMN,00737L103,12357,344691,SH,DFND,1,344691,0,0,
ADTALEM GLOBAL ED INC,CMN,00737L103,333,9300,SH,DFND,1,9300,0,0,Put
ADTALEM GLOBAL ED INC,CMN,00737L103,14,400,SH,DFND,1,400,0,0,Call
ADTALEM GLOBAL ED INC,CMN,00737L103,11350,316586,SH,DFND,2,304529,0,12057,
ADTRAN INC,CMN,00738A106,3298,137420,SH,DFND,1,137420,0,0,
ADTRAN INC,CMN,00738A106,326,13600,SH,DFND,1,13600,0,0,Call
ADTRAN INC,CMN,00738A106,72,3000,SH,DFND,1,3000,0,0,Put
ADTRAN INC,CMN,00738A106,300,12482,SH,DFND,2,12482,0,0,
ADURO BIOTECH INC,CMN,00739L101,1913,179587,SH,DFND,1,179587,0,0,
ADURO BIOTECH INC,CMN,00739L101,143,13441,SH,DFND,2,13441,0,0,
ADVANCE AUTO PARTS INC,CMN,00751Y106,65700,662294,SH,DFND,1,662284,0,10,
ADVANCE AUTO PARTS INC,CMN,00751Y106,2093,21100,SH,DFND,1,21100,0,0,Put
ADVANCE AUTO PARTS INC,CMN,00751Y106,2946,29700,SH,DFND,1,29700,0,0,Call
ADVANCE AUTO PARTS INC,CMN,00751Y106,7348,74075,SH,DFND,2,70205,0,3870,
ADVANCED ACCELERATOR APPLIC,CMN,00790T100,832,12309,SH,DFND,1,12309,0,0,
ADVANCED DISP SVCS INC DEL,CMN,00790X101,1450,57579,SH,DFND,1,57579,0,0,
ADVANCED DISP SVCS INC DEL,CMN,00790X101,27752,1101706,SH,DFND,2,1058781,0,42925,
ADVANCED DRAIN SYS INC DEL,CMN,00790R104,3215,158743,SH,DFND,1,158743,0,0,
ADVANCED EMISSIONS SOLUTS IN,CMN,00770C101,189,17268,SH,DFND,1,17268,0,0,
ADVANCED ENERGY INDS,CMN,007973100,7616,94310,SH,DFND,1,94310,0,0,
ADVANCED ENERGY INDS,CMN,007973100,10225,126614,SH,DFND,2,126614,0,0,
ADVANCED MICRO DEVICES INC,CNV,007903BD8,13885,7839000,PRN,DFND,1,7839000,0,0,
ADVANCED MICRO DEVICES INC,CMN,007903107,94140,7383499,SH,DFND,1,7383499,0,0,
ADVANCED MICRO DEVICES INC,CMN,007903107,42478,3331600,SH,DFND,1,3331600,0,0,Put
ADVANCED MICRO DEVICES INC,CMN,007903107,47819,3750500,SH,DFND,1,3750500,0,0,Call
ADVANCED MICRO DEVICES INC,CMN,007903107,32976,2586355,SH,DFND,2,2527404,0,58951,
ADVANCED MICRO DEVICES INC,CMN,007903107,191,15007,SH,DFND,7,15007,0,0,
ADVANCED SEMICONDUCTOR ENGR,CMN,00756M404,466,75339,SH,DFND,1,75339,0,0,
ADVANSIX INC,CMN,00773T101,8283,208372,SH,DFND,1,208372,0,0,
ADVANSIX INC,CMN,00773T101,5,128,SH,DFND,1,128,0,0,Call
ADVANSIX INC,CMN,00773T101,1,36,SH,DFND,1,36,0,0,Put
ADVANSIX INC,CMN,00773T101,1490,37474,SH,DFND,2,37474,0,0,
ADVANTAGE OIL & GAS LTD,CMN,00765F101,40,6335,SH,DFND,1,6335,0,0,
ADVANTAGE OIL & GAS LTD,CMN,00765F101,97,15400,SH,DFND,1,15400,0,0,Put
ADVANTAGE OIL & GAS LTD,CMN,00765F101,67,10700,SH,DFND,1,10700,0,0,Call
ADVANTAGE OIL & GAS LTD,CMN,00765F101,278,44100,SH,DFND,2,44100,0,0,
ADVANTAGE OIL & GAS LTD,CMN,00765F101,462,73349,SH,DFND,3,73349,0,0,
ADVAXIS INC,CMN,007624208,138,32941,SH,DFND,1,32941,0,0,
ADVISORSHARES TR,CMN,00768Y826,531,16528,SH,DFND,1,16528,0,0,
ADVISORY BRD CO,CMN,00762W107,81776,1524966,SH,DFND,1,1524966,0,0,
ADVISORY BRD CO,CMN,00762W107,601,11200,SH,DFND,1,11200,0,0,Call
ADVISORY BRD CO,CMN,00762W107,656,12228,SH,DFND,2,12228,0,0,
AECOM,CMN,00766T100,10962,297793,SH,DFND,1,297793,0,0,
AECOM,CMN,00766T100,434,11800,SH,DFND,1,11800,0,0,Put
AECOM,CMN,00766T100,254,6900,SH,DFND,1,6900,0,0,Call
AECOM,CMN,00766T100,23689,643551,SH,DFND,2,600980,0,42571,
AECOM,CMN,00766T100,45,1230,SH,DFND,6,1230,0,0,
AECOM,CMN,00766T100,300,8138,SH,OTR,"6,2",0,8138,0,
AEGEAN MARINE PETROLEUM NETW,CMN,Y0017S102,332,67034,SH,DFND,1,67034,0,0,
AEGION CORP,CMN,00770F104,2094,89935,SH,DFND,1,89935,0,0,
AEGION CORP,CMN,00770F104,418,17943,SH,DFND,2,17943,0,0,
AEGON N V,CMN,007924103,738,127484,SH,DFND,1,83854,0,43630,
AEGON N V,CMN,007924103,4901,846449,SH,DFND,2,846449,0,0,
AEGON N V,CMN,007924103,264,45653,SH,DFND,6,45653,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,7534,147411,SH,DFND,1,147411,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,25055,490212,SH,DFND,2,440916,0,49296,
AERCAP HOLDINGS NV,CMN,N00985106,1057,20681,SH,DFND,3,20681,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,392,7674,SH,DFND,6,7674,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,940,18393,SH,OTR,"6,2",0,18393,0,
AERIE PHARMACEUTICALS INC,CMN,00771V108,7589,156144,SH,DFND,1,156144,0,0,
AERIE PHARMACEUTICALS INC,CMN,00771V108,539,11085,SH,DFND,2,11085,0,0,
AEROHIVE NETWORKS INC,CMN,007786106,137,33611,SH,DFND,1,23611,0,10000,
AEROJET ROCKETDYNE HLDGS INC,CMN,007800105,11089,316751,SH,DFND,1,316751,0,0,
AEROJET ROCKETDYNE HLDGS INC,CMN,007800105,693,19782,SH,DFND,2,19782,0,0,
AEROVIRONMENT INC,CMN,008073108,6241,115322,SH,DFND,1,115322,0,0,
AEROVIRONMENT INC,CMN,008073108,290,5350,SH,DFND,2,5350,0,0,
AEROVIRONMENT INC,CMN,008073108,720,13300,SH,DFND,3,13300,0,0,
AEROVIRONMENT INC,CMN,008073108,317,5850,SH,DFND,6,5850,0,0,
AES CORP,CMN,00130H105,27140,2462821,SH,DFND,1,1589521,0,873300,
AES CORP,CMN,00130H105,293,26600,SH,DFND,1,26600,0,0,Call
AES CORP,CMN,00130H105,58,5300,SH,DFND,1,5300,0,0,Put
AES CORP,CMN,00130H105,91275,8282697,SH,DFND,2,7675102,0,607595,
AES CORP,CMN,00130H105,814,73895,SH,DFND,3,164,0,73731,
AES CORP,CMN,00130H105,778,70573,SH,DFND,6,70573,0,0,
AES CORP,CMN,00130H105,950,86178,SH,OTR,"6,2",0,86178,0,
AETNA INC NEW,CMN,00817Y108,201103,1264721,SH,DFND,1,1264173,0,548,
AETNA INC NEW,CMN,00817Y108,6853,43100,SH,DFND,1,43100,0,0,Put
AETNA INC NEW,CMN,00817Y108,8253,51900,SH,DFND,1,51900,0,0,Call
AETNA INC NEW,CMN,00817Y108,211114,1327675,SH,DFND,2,1259261,0,68414,
AETNA INC NEW,CMN,00817Y108,3360,21132,SH,DFND,6,21132,0,0,
AETNA INC NEW,CMN,00817Y108,759,4771,SH,DFND,7,4771,0,0,
AEVI GENOMIC MEDICINE INC,CMN,00835P105,111,88418,SH,DFND,1,88418,0,0,
AFFILIATED MANAGERS GROUP,CMN,008252108,53806,283441,SH,DFND,1,232463,0,50978,
AFFILIATED MANAGERS GROUP,CMN,008252108,171,900,SH,DFND,1,900,0,0,Put
AFFILIATED MANAGERS GROUP,CMN,008252108,153214,807110,SH,DFND,2,736317,0,70793,
AFFILIATED MANAGERS GROUP,CMN,008252108,63392,333939,SH,DFND,3,2,0,333937,
AFFILIATED MANAGERS GROUP,CMN,008252108,4633,24407,SH,DFND,4,0,0,24407,
AFFILIATED MANAGERS GROUP,CMN,008252108,395,2083,SH,DFND,6,2083,0,0,
AFFILIATED MANAGERS GROUP,CMN,008252108,237,1247,SH,DFND,7,1247,0,0,
AFFIMED N V,CMN,N01045108,67,29904,SH,DFND,1,29904,0,0,
AFLAC INC,CMN,001055102,274088,3367593,SH,DFND,1,3357864,0,9729,
AFLAC INC,CMN,001055102,12786,157100,SH,DFND,1,157100,0,0,Put
AFLAC INC,CMN,001055102,82155,1009400,SH,DFND,1,1009400,0,0,Call
AFLAC INC,CMN,001055102,50182,616563,SH,DFND,2,603088,0,13475,
AFLAC INC,CMN,001055102,2720,33423,SH,DFND,6,33423,0,0,
AFLAC INC,CMN,001055102,724,8895,SH,DFND,7,8895,0,0,
AG MTG INVT TR INC,CMN,001228105,978,50828,SH,DFND,1,50828,0,0,
AG MTG INVT TR INC,CMN,001228105,3048,158406,SH,DFND,2,158406,0,0,
AGCO CORP,CMN,001084102,132428,1795147,SH,DFND,1,1794747,0,400,
AGCO CORP,CMN,001084102,177,2400,SH,DFND,1,2400,0,0,Call
AGCO CORP,CMN,001084102,229,3100,SH,DFND,1,3100,0,0,Put
AGCO CORP,CMN,001084102,5815,78830,SH,DFND,2,73156,0,5674,
AGCO CORP,CMN,001084102,218,2951,SH,DFND,6,2951,0,0,
AGENUS INC,CMN,00847G705,1465,332135,SH,DFND,1,332135,0,0,
AGENUS INC,CMN,00847G705,1544,350000,SH,DFND,1,350000,0,0,Call
AGENUS INC,CMN,00847G705,136,30852,SH,DFND,2,30852,0,0,
AGILENT TECHNOLOGIES INC,CMN,00846U101,158131,2463102,SH,DFND,1,2412315,0,50787,
AGILENT TECHNOLOGIES INC,CMN,00846U101,443,6900,SH,DFND,1,6900,0,0,Put
AGILENT TECHNOLOGIES INC,CMN,00846U101,507,7900,SH,DFND,1,7900,0,0,Call
AGILENT TECHNOLOGIES INC,CMN,00846U101,154117,2400584,SH,DFND,2,2243430,0,157154,
AGILENT TECHNOLOGIES INC,CMN,00846U101,716,11156,SH,DFND,6,11156,0,0,
AGILENT TECHNOLOGIES INC,CMN,00846U101,405,6314,SH,OTR,"6,2",0,6314,0,
AGILENT TECHNOLOGIES INC,CMN,00846U101,297,4622,SH,DFND,7,4622,0,0,
AGILYSYS INC,CMN,00847J105,326,27297,SH,DFND,1,27297,0,0,
AGIOS PHARMACEUTICALS INC,CMN,00847X104,22363,335032,SH,DFND,1,335032,0,0,
AGIOS PHARMACEUTICALS INC,CMN,00847X104,2737,41000,SH,DFND,1,41000,0,0,Put
AGIOS PHARMACEUTICALS INC,CMN,00847X104,39858,597124,SH,DFND,2,593317,0,3807,
AGNC INVT CORP,CMN,00123Q104,94947,4379459,SH,DFND,1,4376159,0,3300,
AGNC INVT CORP,CMN,00123Q104,820,37800,SH,DFND,1,37800,0,0,Call
AGNC INVT CORP,CMN,00123Q104,314,14500,SH,DFND,1,14500,0,0,Put
AGNC INVT CORP,CMN,00123Q104,17905,825856,SH,DFND,2,752812,0,73044,
AGNC INVT CORP,CMN,00123Q104,416,19209,SH,DFND,3,19209,0,0,
AGNICO EAGLE MINES LTD,CMN,008474108,13157,291024,SH,DFND,1,290974,0,50,
AGNICO EAGLE MINES LTD,CMN,008474108,2414,53400,SH,DFND,1,53400,0,0,Put
AGNICO EAGLE MINES LTD,CMN,008474108,4797,106100,SH,DFND,1,106100,0,0,Call
AGNICO EAGLE MINES LTD,CMN,008474108,5927,131101,SH,DFND,2,131101,0,0,
AGNICO EAGLE MINES LTD,CMN,008474108,1733,38337,SH,DFND,3,38337,0,0,
AGREE REALTY CORP,CMN,008492100,5372,109461,SH,DFND,1,109461,0,0,
AGREE REALTY CORP,CMN,008492100,982,20000,SH,DFND,1,20000,0,0,Call
AGREE REALTY CORP,CMN,008492100,336,6840,SH,DFND,2,6840,0,0,
AGRIUM INC,CMN,008916108,8058,75158,SH,DFND,1,75138,0,20,
AGRIUM INC,CMN,008916108,4374,40800,SH,DFND,1,40800,0,0,Put
AGRIUM INC,CMN,008916108,1287,12000,SH,DFND,1,12000,0,0,Call
AGRIUM INC,CMN,008916108,8554,79783,SH,DFND,2,79783,0,0,
AGRIUM INC,CMN,008916108,2996,27947,SH,DFND,3,27947,0,0,
AIMMUNE THERAPEUTICS INC,CMN,00900T107,6132,247376,SH,DFND,1,247376,0,0,
AIMMUNE THERAPEUTICS INC,CMN,00900T107,545,22000,SH,DFND,1,22000,0,0,Put
AIMMUNE THERAPEUTICS INC,CMN,00900T107,992,40000,SH,DFND,1,40000,0,0,Call
AIR LEASE CORP,CMN,00912X302,9437,221424,SH,DFND,1,221424,0,0,
AIR LEASE CORP,CMN,00912X302,4,100,SH,DFND,1,100,0,0,Put
AIR LEASE CORP,CMN,00912X302,111,2600,SH,DFND,1,2600,0,0,Call
AIR LEASE CORP,CMN,00912X302,4417,103635,SH,DFND,2,102877,0,758,
AIR PRODS & CHEMS INC,CMN,009158106,116110,767820,SH,DFND,1,754190,0,13630,
AIR PRODS & CHEMS INC,CMN,009158106,12718,84100,SH,DFND,1,84100,0,0,Call
AIR PRODS & CHEMS INC,CMN,009158106,23787,157300,SH,DFND,1,157300,0,0,Put
AIR PRODS & CHEMS INC,CMN,009158106,46010,304259,SH,DFND,2,295783,0,8476,
AIR PRODS & CHEMS INC,CMN,009158106,1612,10661,SH,DFND,6,10661,0,0,
AIR PRODS & CHEMS INC,CMN,009158106,580,3835,SH,OTR,"6,2",0,3835,0,
AIR PRODS & CHEMS INC,CMN,009158106,477,3154,SH,DFND,7,3154,0,0,
AIR TRANSPORT SERVICES GRP I,CMN,00922R105,1777,73015,SH,DFND,1,73015,0,0,
AIR TRANSPORT SERVICES GRP I,CMN,00922R105,302,12411,SH,DFND,2,12411,0,0,
